1: 1103.860840, 1473.778809, 344.125000, 11824
1: 1107.657837, 1504.024780, 352.125000, 11919
1: 1096.166626, 1534.808350, 360.125000, 12022
1: 1073.243530, 1543.332031, 368.125000, 12116
1: 1043.173096, 1535.868530, 368.125000, 12220
1: 1019.120667, 1519.122925, 376.125000, 12321
1: 1008.498962, 1528.930298, 384.125000, 12415
1: 987.792603, 1544.241577, 384.125000, 12520
1: 960.254395, 1537.393921, 400.125000, 12621
1: 931.350159, 1527.495728, 408.125000, 12716
1: 906.235413, 1523.588135, 408.125000, 12820
1: 876.287109, 1512.057373, 408.125000, 12924
1: 848.052124, 1497.025146, 408.125000, 13016
1: 821.164246, 1479.946777, 408.125000, 13120
1: 795.247131, 1461.525513, 408.125000, 13224
1: 770.148071, 1442.025635, 408.125000, 13316
1: 746.443115, 1421.568359, 408.125000, 13420
1: 721.399475, 1401.898682, 408.125000, 13524
1: 694.715454, 1384.391235, 408.125000, 13615
1: 663.782105, 1373.633789, 408.125000, 13720
1: 632.188355, 1368.443115, 408.125000, 13824
1: 600.284241, 1366.728149, 408.125000, 13916
1: 568.461670, 1367.124268, 408.125000, 14020
1: 545.228271, 1368.166260, 408.125000, 14123
1: 529.183533, 1369.372803, 408.125000, 14215
1: 518.381958, 1370.498657, 408.125000, 14320
1: 506.375427, 1353.583374, 408.125000, 14424
1: 481.100891, 1351.361084, 408.125000, 14516
1: 461.490509, 1372.591064, 412.125000, 14619
1: 435.839417, 1386.788330, 412.125000, 14719
1: 409.223145, 1392.431641, 412.125000, 14820
1: 383.311493, 1392.811768, 408.125000, 14922
1: 366.669312, 1371.778076, 408.125000, 15024
1: 354.425537, 1342.181274, 408.125000, 15115
1: 344.583191, 1311.888428, 408.125000, 15216
1: 336.286713, 1281.196655, 408.125000, 15320
1: 329.077393, 1250.255615, 408.125000, 15424
1: 322.758240, 1219.126099, 408.125000, 15516
1: 317.447723, 1187.804443, 412.125000, 15622
1: 314.402710, 1169.114502, 412.125000, 15716
1: 330.048645, 1156.998657, 412.125000, 15820
1: 358.281708, 1151.620361, 412.125000, 15924
1: 388.400879, 1157.319580, 411.125000, 16016
1: 417.106873, 1170.382813, 408.127838, 16118
1: 438.839111, 1189.186646, 408.127838, 16224
1: 454.951538, 1206.283569, 408.127838, 16316
1: 468.671906, 1224.581299, 408.127838, 16420
1: 481.547485, 1247.162720, 408.127838, 16516
1: 508.968079, 1263.322876, 408.127838, 16622
1: 540.178955, 1272.634644, 408.127838, 16716
1: 571.799988, 1277.759399, 408.127838, 16820
1: 603.528564, 1280.458862, 408.127838, 16916
1: 635.156006, 1281.786011, 408.127838, 17020
1: 666.288696, 1282.194214, 408.127838, 17122
1: 696.531067, 1281.988770, 408.127838, 17216
1: 725.127625, 1281.432129, 408.127838, 17319
1: 752.079468, 1280.537842, 408.127838, 17422
1: 776.749939, 1279.178223, 408.127838, 17521
